,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
61,0.361,0.542,2,-10.4,1,0.0468,0.2,7.38e-06,0.697,0.201,132.729,audio_features,3PvwM349AiT4geVNERGyK1,spotify:track:3PvwM349AiT4geVNERGyK1,https://api.spotify.com/v1/tracks/3PvwM349AiT4geVNERGyK1,https://api.spotify.com/v1/audio-analysis/3PvwM349AiT4geVNERGyK1,272280,4
62,0.394,0.541,5,-9.789,1,0.0586,0.25,0.0,0.319,0.233,119.685,audio_features,4RfVs90MWxEKQwWrVE6NSo,spotify:track:4RfVs90MWxEKQwWrVE6NSo,https://api.spotify.com/v1/tracks/4RfVs90MWxEKQwWrVE6NSo,https://api.spotify.com/v1/audio-analysis/4RfVs90MWxEKQwWrVE6NSo,177853,4
63,0.568,0.642,9,-8.989,0,0.103,0.147,0.0,0.348,0.315,134.847,audio_features,5wwanSCDduCb7kwKlO6YPZ,spotify:track:5wwanSCDduCb7kwKlO6YPZ,https://api.spotify.com/v1/tracks/5wwanSCDduCb7kwKlO6YPZ,https://api.spotify.com/v1/audio-analysis/5wwanSCDduCb7kwKlO6YPZ,226133,4
64,0.263,0.294,0,-14.578,1,0.037,0.619,0.0408,0.0891,0.0575,125.899,audio_features,6Zoejk0i3LSlu40PC3puRJ,spotify:track:6Zoejk0i3LSlu40PC3puRJ,https://api.spotify.com/v1/tracks/6Zoejk0i3LSlu40PC3puRJ,https://api.spotify.com/v1/audio-analysis/6Zoejk0i3LSlu40PC3puRJ,237400,3
65,0.362,0.645,7,-8.881,1,0.114,0.466,0.0,0.132,0.164,149.905,audio_features,4dv3NIR1NHQjBYkrJ1Hz9v,spotify:track:4dv3NIR1NHQjBYkrJ1Hz9v,https://api.spotify.com/v1/tracks/4dv3NIR1NHQjBYkrJ1Hz9v,https://api.spotify.com/v1/audio-analysis/4dv3NIR1NHQjBYkrJ1Hz9v,274680,4
66,0.356,0.506,0,-10.081,1,0.0685,0.427,3.49e-06,0.114,0.107,121.505,audio_features,59g80hHA46EeR5BhPqq2jR,spotify:track:59g80hHA46EeR5BhPqq2jR,https://api.spotify.com/v1/tracks/59g80hHA46EeR5BhPqq2jR,https://api.spotify.com/v1/audio-analysis/59g80hHA46EeR5BhPqq2jR,236333,4
67,0.429,0.84,9,-8.663,1,0.448,0.0807,0.0,0.213,0.345,150.028,audio_features,55HwOTHfrQm9h32lbLkDHp,spotify:track:55HwOTHfrQm9h32lbLkDHp,https://api.spotify.com/v1/tracks/55HwOTHfrQm9h32lbLkDHp,https://api.spotify.com/v1/audio-analysis/55HwOTHfrQm9h32lbLkDHp,275147,4
68,0.628,0.654,4,-9.06,1,0.249,0.451,0.0,0.106,0.497,125.353,audio_features,1lPBloFBSOAcky4XiIBjnE,spotify:track:1lPBloFBSOAcky4XiIBjnE,https://api.spotify.com/v1/tracks/1lPBloFBSOAcky4XiIBjnE,https://api.spotify.com/v1/audio-analysis/1lPBloFBSOAcky4XiIBjnE,202200,4
69,0.212,0.295,0,-13.734,1,0.0509,0.845,3.94e-05,0.0949,0.0739,79.713,audio_features,5kI58wuCbyoHP29m4uMmcg,spotify:track:5kI58wuCbyoHP29m4uMmcg,https://api.spotify.com/v1/tracks/5kI58wuCbyoHP29m4uMmcg,https://api.spotify.com/v1/audio-analysis/5kI58wuCbyoHP29m4uMmcg,131533,5
70,0.535,0.608,10,-9.857,1,0.0697,0.559,0.0,0.174,0.156,82.001,audio_features,3CH94UfiPklc62pSIaDTPx,spotify:track:3CH94UfiPklc62pSIaDTPx,https://api.spotify.com/v1/tracks/3CH94UfiPklc62pSIaDTPx,https://api.spotify.com/v1/audio-analysis/3CH94UfiPklc62pSIaDTPx,231200,4
71,0.346,0.525,1,-11.461,0,0.0964,0.363,2.84e-06,0.227,0.0797,150.619,audio_features,6lCKFUUfA4dO0jLb1MpKXc,spotify:track:6lCKFUUfA4dO0jLb1MpKXc,https://api.spotify.com/v1/tracks/6lCKFUUfA4dO0jLb1MpKXc,https://api.spotify.com/v1/audio-analysis/6lCKFUUfA4dO0jLb1MpKXc,274907,4
72,0.467,0.239,5,-16.938,1,0.0356,0.905,0.85,0.312,0.0669,135.779,audio_features,6Oy0oLJUbZC7FTay0OLyGn,spotify:track:6Oy0oLJUbZC7FTay0OLyGn,https://api.spotify.com/v1/tracks/6Oy0oLJUbZC7FTay0OLyGn,https://api.spotify.com/v1/audio-analysis/6Oy0oLJUbZC7FTay0OLyGn,181813,4
