,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,names
21,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829,audio_features,7KW1AtQKFToSoF1kmyk2wE,spotify:track:7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/tracks/7KW1AtQKFToSoF1kmyk2wE,https://api.spotify.com/v1/audio-analysis/7KW1AtQKFToSoF1kmyk2wE,187500,4,Noel
22,0.489,0.318,1,-6.876,1,0.05,0.852,0.0,0.371,0.439,135.784,audio_features,0AdVA0pizR4KoZyu2XSJQp,spotify:track:0AdVA0pizR4KoZyu2XSJQp,https://api.spotify.com/v1/tracks/0AdVA0pizR4KoZyu2XSJQp,https://api.spotify.com/v1/audio-analysis/0AdVA0pizR4KoZyu2XSJQp,139130,4,Noel
23,0.83,0.598,0,-6.312,1,0.0627,0.821,0.0,0.0897,0.415,122.974,audio_features,076YCyUBs1GlrzAmOsZkFU,spotify:track:076YCyUBs1GlrzAmOsZkFU,https://api.spotify.com/v1/tracks/076YCyUBs1GlrzAmOsZkFU,https://api.spotify.com/v1/audio-analysis/076YCyUBs1GlrzAmOsZkFU,193171,4,Noel
24,0.568,0.33,1,-10.228,1,0.0446,0.873,0.0,0.142,0.503,102.509,audio_features,5lbeUlfWKtXsUsOk6tscZz,spotify:track:5lbeUlfWKtXsUsOk6tscZz,https://api.spotify.com/v1/tracks/5lbeUlfWKtXsUsOk6tscZz,https://api.spotify.com/v1/audio-analysis/5lbeUlfWKtXsUsOk6tscZz,185600,4,Noel
25,0.454,0.356,7,-5.779,1,0.0356,0.771,0.0,0.174,0.544,106.472,audio_features,31Z2eycsna5U9usbUFcGme,spotify:track:31Z2eycsna5U9usbUFcGme,https://api.spotify.com/v1/tracks/31Z2eycsna5U9usbUFcGme,https://api.spotify.com/v1/audio-analysis/31Z2eycsna5U9usbUFcGme,178687,5,Noel
26,0.864,0.564,0,-8.54,1,0.059,0.399,0.000746,0.397,0.401,134.983,audio_features,0tW3SDJmTyS3is8QXQ4z1q,spotify:track:0tW3SDJmTyS3is8QXQ4z1q,https://api.spotify.com/v1/tracks/0tW3SDJmTyS3is8QXQ4z1q,https://api.spotify.com/v1/audio-analysis/0tW3SDJmTyS3is8QXQ4z1q,134513,4,Noel
27,0.753,0.518,7,-6.935,1,0.0423,0.359,0.0,0.102,0.461,122.909,audio_features,0MiXaQIz1IaIRdRXs0tZE9,spotify:track:0MiXaQIz1IaIRdRXs0tZE9,https://api.spotify.com/v1/tracks/0MiXaQIz1IaIRdRXs0tZE9,https://api.spotify.com/v1/audio-analysis/0MiXaQIz1IaIRdRXs0tZE9,195122,4,Noel
28,0.668,0.594,9,-8.276,0,0.0387,0.196,0.000979,0.105,0.68,140.001,audio_features,2eeOF8wsCKNPmbCqg855TH,spotify:track:2eeOF8wsCKNPmbCqg855TH,https://api.spotify.com/v1/tracks/2eeOF8wsCKNPmbCqg855TH,https://api.spotify.com/v1/audio-analysis/2eeOF8wsCKNPmbCqg855TH,178286,4,Noel
29,0.652,0.483,8,-9.964,0,0.291,0.658,0.0,0.393,0.372,75.987,audio_features,1DoECePnMuLtpLQSCZqwtK,spotify:track:1DoECePnMuLtpLQSCZqwtK,https://api.spotify.com/v1/tracks/1DoECePnMuLtpLQSCZqwtK,https://api.spotify.com/v1/audio-analysis/1DoECePnMuLtpLQSCZqwtK,134881,4,Noel
30,0.694,0.502,0,-7.004,1,0.166,0.785,0.000227,0.117,0.584,75.011,audio_features,6K8YDOe6C2HgnMJNYhUOHE,spotify:track:6K8YDOe6C2HgnMJNYhUOHE,https://api.spotify.com/v1/tracks/6K8YDOe6C2HgnMJNYhUOHE,https://api.spotify.com/v1/audio-analysis/6K8YDOe6C2HgnMJNYhUOHE,246400,4,Noel
31,0.73,0.639,0,-5.942,1,0.0993,0.669,0.0,0.824,0.661,143.956,audio_features,607PGYIaTaTyAKQtmPpUom,spotify:track:607PGYIaTaTyAKQtmPpUom,https://api.spotify.com/v1/tracks/607PGYIaTaTyAKQtmPpUom,https://api.spotify.com/v1/audio-analysis/607PGYIaTaTyAKQtmPpUom,133333,4,Noel
32,0.605,0.327,6,-7.659,1,0.037,0.866,0.0,0.125,0.608,179.839,audio_features,2Yj1sRA7UENRp7p6tt8E1k,spotify:track:2Yj1sRA7UENRp7p6tt8E1k,https://api.spotify.com/v1/tracks/2Yj1sRA7UENRp7p6tt8E1k,https://api.spotify.com/v1/audio-analysis/2Yj1sRA7UENRp7p6tt8E1k,164500,4,Noel
33,0.718,0.532,9,-6.616,1,0.0327,0.165,0.0,0.106,0.572,130.006,audio_features,20sFl6i4XxsR3QMucHOBCS,spotify:track:20sFl6i4XxsR3QMucHOBCS,https://api.spotify.com/v1/tracks/20sFl6i4XxsR3QMucHOBCS,https://api.spotify.com/v1/audio-analysis/20sFl6i4XxsR3QMucHOBCS,167000,4,Noel
34,0.684,0.457,0,-7.248,1,0.0491,0.559,0.0,0.189,0.46,75.018,audio_features,2vjzbykgEw97mF7kxfL8cW,spotify:track:2vjzbykgEw97mF7kxfL8cW,https://api.spotify.com/v1/tracks/2vjzbykgEw97mF7kxfL8cW,https://api.spotify.com/v1/audio-analysis/2vjzbykgEw97mF7kxfL8cW,188800,4,Noel
35,0.652,0.483,6,-8.92,1,0.246,0.931,0.0,0.0959,0.469,78.267,audio_features,3UYn4qdsgnQlbOgYiVIyYJ,spotify:track:3UYn4qdsgnQlbOgYiVIyYJ,https://api.spotify.com/v1/tracks/3UYn4qdsgnQlbOgYiVIyYJ,https://api.spotify.com/v1/audio-analysis/3UYn4qdsgnQlbOgYiVIyYJ,224000,4,Noel
